"pressure","wellbeing","cooperation","competition","formalization","flexibility","performance","innoprocess","innoproduct","size","duration","Culture.national","Culture.craft","distance","function."
3.5,2,2,3.6,2,2.33,2,1,2,"5","2",5,5,4.67,"1"
4,2.5,3.5,2.4,3.67,4,3,4,3,"5","2",1,4,3,"1"
4,2.25,4,3,4,3,4.2,3.5,3.5,"5","2",4,4,4.67,"2"
3,3.5,3.5,2.2,3,3.33,3,2.5,3.5,"5","2",2,5,2.67,"2"
5,2.5,2.01,3.79,4.67,1.33,1.2,1,3,"5","2",5,5,5,"2"
3,2.5,4.25,2.2,4,4,3.8,3.5,2.5,"5","1",5,5,4,"2"
4,2,3.75,2,4,3.33,3.26,3,2.5,"5","1",4,3,4,"2"
3,2.75,3.25,1.8,2,3.67,3.8,2.45,3.56,"5","2",2.68,1,2,"2"
2,3,3,1.4,3.67,4.33,4.2,3.5,3,"5","2",3,5,1,"2"
5,3.5,4.25,1.4,4.33,4.67,4,3.5,3,"5","1",5,5,3.67,"2"
4,2,4,1.6,3.67,3,3.4,2.5,2.5,"5","2",1,4,1.67,"2"
4,2,3.5,1.8,3.67,3.33,4.4,3,1,"5","1",3,5,3.67,"2"
4,1.75,4.25,3.6,5,3.33,3.6,2,2.89,"5","1",5,5,4.33,"2"
5,2,2,3.4,2,3,2.6,2,2.5,"5","1",1,4,1,"3"
3,2.5,3,2,4,3,4,4,3,"5","1",3,3,3,"3"
3,2.5,2.5,1.8,4.33,3,3.2,2.5,2,"5","1",3,3,2.67,"3"
2,2.25,2.75,3.2,4.67,3.33,2.43,4,1.5,"5","1",4,4,4.33,"3"
2.5,3.25,2,1,4.33,2,3.8,3.5,3,"5","3",1,5,3.67,"3"
4.5,4,5,2.23,4,4.67,2.2,4,2.89,"5","2",5,5,5,"3"
3.5,4,2,1.4,4,3,3.2,3,3,"5","1",5,5,2,"3"
4,2.25,4,1.4,2.33,3.67,3.6,2.95,3.33,"5","1",5,5,2,"3"
5,3.5,4,1,4.33,3.18,4,1,1,"5","1",5,5,5,"3"
5,2,2.5,1.6,3.33,4,4,2.89,2.89,"5","1",5,5,5,"3"
3.5,4,4,3.6,4,3.67,3.8,3.5,4,"5","1",5,5,3.67,"3"
2.5,2,4,2.2,4.67,5,3.2,2,1.83,"5","1",3,5,4,"3"
4.5,2.25,3.5,3.2,3,3.67,3.4,3.5,2.89,"5","1",5,5,5,"3"
3.5,4,3.5,1.48,3.33,4,4.05,2.89,2.89,"5","1",5,3,2.67,"3"
3.5,3.75,3.5,2.66,4,4.18,2.4,3,2.89,"5","0",1,5,3.67,"3"
5,4,2.75,3.4,4.67,4,4.6,3,3,"5","3",5,5,1.33,"3"
2.5,3.25,4,1.2,3.67,4,3.4,3.5,3,"5","1",5,5,3.67,"3"
4,2,4.25,1,4,4,3.2,4,3.5,"5","1",1,3,3.67,"3"
3,3.25,2.5,1.8,2.67,2.33,2.6,2,1,"5","1",3,2,3,"3"
5,2.23,3.75,3,3.33,4.33,3.4,3,5,"5","1",1,5,2.33,"3"
